E	P
-396	10402
-380	6870
-404	12379
-388	8556
-400	11384
-408	12988
-364	3763
-432	16321
-372	5192
-468	13835
-456	15486
-476	12406
-460	14967
-488	10152
-492	9394
-416	14563
-504	7256
-512	6171
-464	14597
-428	16089
-436	16442
-500	8200
-444	16698
-440	16530
-516	5317
-544	2516
-548	2203
-536	3183
-524	4277
-520	4867
-568	1135
-532	3539
-484	10875
-472	13139
-528	3883
-564	1293
-604	287
-556	1666
-540	2878
-480	11692
-496	8563
-560	1506
-452	15943
-508	6694
-576	881
-608	257
-656	21
-636	60
-588	556
-592	456
-596	390
-580	721
-572	1022
-584	631
-552	1950
-424	15666
-420	15383
-392	9548
-384	7682
-352	2244
-280	10
-360	3197
-376	6053
-356	2586
-332	750
-336	993
-312	188
-448	16374
-412	14078
-348	1844
-368	4458
-344	1460
-340	1156
-324	433
-616	175
-316	243
-320	346
-308	136
-612	195
-640	40
-644	40
-304	86
-328	543
-632	95
-628	83
-600	325
-284	15
-620	140
-624	100
-300	73
-296	39
-648	26
-288	21
-292	26
-652	27
-276	5
-272	5
-260	3
-684	3
-668	9
-708	1
-700	2
-660	8
-664	11
-672	9
-268	2
-264	6
-676	7
-696	1
-692	2
-248	1
-688	2
-680	2
-256	2
0	0
