M	P
-146	1822
-148	1842
-152	1855
-126	1830
-142	1867
-158	1814
-190	1671
-134	1859
-144	1858
-174	1764
-170	1846
-196	1616
-212	1420
-204	1492
-192	1609
-224	1376
-232	1264
-236	1163
-194	1707
-200	1562
-208	1535
-216	1369
-198	1561
-210	1459
-234	1202
-254	956
-262	833
-248	1030
-252	1002
-218	1357
-226	1275
-244	1050
-240	1122
-266	809
-284	520
-280	606
-230	1259
-276	654
-302	338
-292	416
-296	382
-286	564
-272	773
-288	485
-274	680
-268	756
-278	614
-270	727
-258	897
-242	1121
-220	1317
-184	1760
-214	1420
-166	1790
-186	1693
-172	1786
-202	1589
-228	1260
-294	406
-256	865
-250	1006
-264	823
-222	1336
-238	1126
-298	364
-290	457
-312	218
-324	131
-318	156
-344	25
-336	53
-316	161
-328	84
-326	110
-306	285
-308	266
-246	1052
-156	1880
-168	1739
-122	1943
-116	1927
-88	2056
-100	2041
-96	1935
-90	2073
-50	2060
-32	2091
-34	2176
-54	2072
-30	2178
-28	2161
-12	2194
26	2216
6	2107
44	2150
78	2154
58	2206
56	2151
48	2141
46	2030
38	2048
10	2223
12	2170
-18	2044
-2	2105
2	2012
-14	2190
18	2134
0	2171
-26	2107
-48	2172
-66	2039
-76	2015
-58	1987
-84	2045
-68	2023
-94	2052
-52	1948
-20	2089
-70	1939
-56	2078
-80	2026
-46	2044
-74	2104
-40	2044
-22	2240
-6	2204
-72	2061
8	2143
20	2232
30	2095
14	2134
24	2197
60	2159
34	2156
66	2105
62	2144
84	2125
82	2065
96	2070
106	2129
114	1968
52	2206
28	2197
4	2107
22	2193
16	2174
-10	2107
-44	2112
-8	2081
42	2199
88	2067
80	2090
54	2177
68	2119
40	2172
-24	2070
-108	1937
-120	1989
-110	1930
-114	1939
-92	2040
-124	1944
-4	2072
32	2231
36	2108
76	2117
50	2071
94	2054
100	2038
126	1946
146	1900
140	1832
122	1898
112	2070
102	1999
150	1848
142	1821
134	1947
120	2020
70	2073
64	2077
92	2073
104	2013
-36	2131
-98	1998
-140	1870
-128	1998
-150	1790
-176	1677
-162	1799
-178	1713
-164	1792
-130	1882
-138	1916
-106	1912
-104	2015
-78	2044
-112	1971
-16	2179
-62	2033
-82	2048
-38	2092
-60	2033
-64	2011
-86	1986
-102	1990
-118	1889
-154	1810
-180	1712
-132	1903
-160	1842
-188	1631
-42	2013
74	2122
110	2018
166	1701
132	1859
138	1938
160	1850
186	1569
154	1833
108	2085
86	2131
72	2104
144	1814
90	2024
128	1898
116	1941
162	1799
136	1876
156	1909
178	1714
214	1487
202	1565
196	1561
188	1667
170	1812
180	1746
172	1695
174	1771
208	1490
216	1434
220	1405
194	1571
210	1472
244	1163
234	1267
228	1410
158	1808
168	1812
148	1887
152	1830
-136	1943
130	1876
236	1240
192	1619
206	1489
232	1269
176	1718
182	1712
124	1954
118	1880
246	1130
270	843
242	1205
256	936
276	695
282	600
294	412
300	328
312	219
328	95
274	699
278	625
224	1372
254	1007
262	932
240	1207
266	832
184	1618
164	1711
222	1379
198	1552
204	1502
98	2064
190	1621
200	1529
250	1098
260	923
212	1445
238	1230
258	971
218	1377
-182	1727
-206	1515
-260	877
-282	560
272	733
304	317
320	149
230	1252
252	1083
226	1285
248	1114
296	411
288	540
280	610
292	498
286	526
290	488
264	923
284	552
268	791
298	384
326	114
334	56
344	26
348	15
332	81
-314	201
-330	65
-322	117
-304	283
-310	268
318	162
316	182
306	286
310	238
322	123
308	246
302	309
314	206
-300	312
-320	130
-334	61
-340	47
-338	41
324	131
338	49
-348	18
-332	61
336	45
340	33
-342	21
330	76
-346	21
346	25
354	10
342	30
352	4
356	10
-358	4
-360	2
-354	9
-356	9
-364	1
-370	1
-350	9
-368	3
-352	11
-362	1
-366	2
350	19
360	6
372	1
358	3
370	1
362	1
366	1
0	0
