MCcycles: 10000000	 L = 2	 T = 1	 Randomstart = 1
MCcycles 	 E 		 E2 		 M 		 M2 		 Mabs 		 accepted		 X 		 Cv
1	-2	 	16	 	-1	 	4	 	1	 	2	 	0	 	0	 	
10000	-1.996	 	15.968	 	0.3671	 	3.993	 	0.9985	 	82	 	0.004991	 	0.031936	 	
20000	-1.9968	 	15.9744	 	0.1653	 	3.9946	 	0.9989	 	136	 	0.00339516	 	0.025559	 	
30000	-1.99593	 	15.9675	 	0.354633	 	3.99313	 	0.9986	 	234	 	0.00432549	 	0.0324672	 	
40000	-1.99595	 	15.9676	 	0.38345	 	3.99325	 	0.99865	 	310	 	0.00404271	 	0.0323344	 	
50000	-1.99604	 	15.9683	 	0.3358	 	3.99336	 	0.99866	 	380	 	0.00407282	 	0.0316173	 	
60000	-1.99603	 	15.9683	 	0.224333	 	3.99337	 	0.998667	 	460	 	0.00402622	 	0.0316704	 	
70000	-1.99611	 	15.9689	 	0.181314	 	3.99349	 	0.998686	 	530	 	0.00399309	 	0.0310253	 	
80000	-1.99625	 	15.97	 	0.1025	 	3.9937	 	0.998725	 	588	 	0.0038935	 	0.0299437	 	
90000	-1.99596	 	15.9676	 	0.179622	 	3.9932	 	0.998622	 	708	 	0.00421463	 	0.0322901	 	
100000	-1.99602	 	15.9682	 	0.123405	 	3.99333	 	0.998655	 	790	 	0.00408276	 	0.0317766	 	
110000	-1.99605	 	15.9684	 	0.1428	 	3.99342	 	0.998682	 	860	 	0.00395669	 	0.0315014	 	
120000	-1.99603	 	15.9683	 	0.101038	 	3.99337	 	0.998671	 	932	 	0.00400127	 	0.0316704	 	
130000	-1.99614	 	15.9691	 	0.135269	 	3.99355	 	0.998708	 	990	 	0.00388563	 	0.0308327	 	
140000	-1.99621	 	15.9697	 	0.105193	 	3.99366	 	0.998721	 	1052	 	0.00387918	 	0.0302284	 	
150000	-1.99617	 	15.9694	 	0.10577	 	3.99361	 	0.998717	 	1136	 	0.00386675	 	0.0305548	 	
160000	-1.9962	 	15.9696	 	0.0923188	 	3.99366	 	0.998731	 	1196	 	0.00380606	 	0.0303422	 	
170000	-1.99608	 	15.9687	 	0.0638853	 	3.99348	 	0.998697	 	1302	 	0.00389321	 	0.0312798	 	
180000	-1.99608	 	15.9686	 	0.0828917	 	3.99348	 	0.998703	 	1388	 	0.00385438	 	0.0313162	 	
190000	-1.99616	 	15.9693	 	0.0682684	 	3.99362	 	0.998732	 	1438	 	0.00376199	 	0.0306778	 	
200000	-1.99617	 	15.9694	 	0.0317575	 	3.99363	 	0.998727	 	1512	 	0.00379852	 	0.0305813	 	
210000	-1.99615	 	15.9692	 	0.00972143	 	3.9936	 	0.998726	 	1578	 	0.00378875	 	0.0307217	 	
220000	-1.99626	 	15.9701	 	0.0311523	 	3.9938	 	0.998766	 	1612	 	0.00366209	 	0.0298351	 	
