Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66185	0.86825		1.54454	1.00151	
2.2		-1.54613	0.783096		6.92692	1.4553	
2.23		-1.49954	0.729673		17.6894	1.75012	
2.25		-1.46354	0.675295		31.6399	1.97717	
2.26		-1.44232	0.633319		45.9769	2.1155	
2.265		-1.43162	0.606014		63.2472	2.26949	
2.27		-1.42017	0.577309		73.9149	2.30638	
2.275		-1.40813	0.544879		84.2318	2.36249	
2.278		-1.40027	0.521818		90.5254	2.39807	
2.279		-1.39774	0.5103		98.837	2.37137	
2.28		-1.39548	0.509271		92.2024	2.3551	
2.281		-1.39427	0.505032		97.8316	2.39566	
2.282		-1.39201	0.500675		95.1902	2.38757	
2.283		-1.38961	0.492071		99.7069	2.36223	
2.284		-1.38762	0.490113		97.9412	2.37688	
2.285		-1.3853	0.483093		98.8272	2.36443	
2.286		-1.38136	0.470071		97.6641	2.27193	
2.287		-1.379	0.460242		103.757	2.33033	
2.288		-1.37788	0.46146		103.14	2.32508	
2.289		-1.3765	0.460931		100.692	2.31211	
2.29		-1.37406	0.453077		100.936	2.29505	
2.3		-1.35038	0.38002		100.846	2.09789	
2.32		-1.31239	0.277232		81.8455	1.7681	
2.35		-1.26648	0.193674		48.218	1.39728	
2.38		-1.22743	0.145156		29.8438	1.21132	
2.4		-1.20373	0.124925		22.3227	1.12535	
2.45		-1.15184	0.0962283		13.186	0.978223	
2.5		-1.10608	0.0789879		9.03101	0.862753	
2.55		-1.06548	0.0685601		6.64909	0.778607	
2.6		-1.02818	0.0596354		4.93102	0.706184	
