Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66175	0.86689		6.11412	1.03765	
2.2		-1.54635	0.784546		4.80837	1.4159	
2.23		-1.49951	0.730488		14.1698	1.7189	
2.25		-1.4645	0.680669		26.3465	1.96045	
2.26		-1.43986	0.611218		87.6985	2.37855	
2.265		-1.42985	0.591688		90.3395	2.40496	
2.27		-1.41963	0.569921		94.3575	2.3649	
2.275		-1.40853	0.542329		105.011	2.42582	
2.278		-1.39939	0.504523		128.221	2.4703	
2.279		-1.39569	0.489001		135.483	2.46517	
2.28		-1.39466	0.48756		136.122	2.4247	
2.281		-1.39102	0.469269		150	2.50179	
2.282		-1.38626	0.444619		157.619	2.42652	
2.283		-1.38741	0.465957		138.244	2.41677	
2.284		-1.38428	0.45557		141.592	2.43038	
2.285		-1.38076	0.432266		156.867	2.41921	
2.286		-1.37982	0.442499		136.979	2.33634	
2.287		-1.37832	0.43415		150.321	2.34877	
2.288		-1.37467	0.418722		154.441	2.39924	
2.289		-1.37219	0.407063		152.247	2.30224	
2.29		-1.37003	0.404668		150.148	2.33066	
2.3		-1.34829	0.334271		142.052	2.11757	
2.32		-1.31034	0.223335		96.9651	1.66887	
2.35		-1.26555	0.149943		48.3006	1.36948	
2.38		-1.2273	0.117971		31.8319	1.20805	
2.4		-1.20402	0.100479		22.8567	1.13596	
2.45		-1.15168	0.0765051		13.3406	0.969673	
2.5		-1.10618	0.0622332		8.73482	0.865632	
2.55		-1.06523	0.0541602		6.57354	0.775751	
2.6		-1.02824	0.0478746		4.96841	0.707738	
