Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66191	0.867819		3.45527	1.01523	
2.2		-1.54644	0.784741		5.07448	1.41476	
2.23		-1.50034	0.733972		12.2265	1.68923	
2.25		-1.46366	0.674123		39.2155	2.03863	
2.26		-1.44279	0.630054		62.722	2.24538	
2.265		-1.4301	0.592885		86.2022	2.35216	
2.27		-1.41873	0.564018		100.561	2.40247	
2.275		-1.40503	0.512049		139.277	2.51761	
2.278		-1.39844	0.496479		137.707	2.48764	
2.279		-1.39763	0.498792		132.666	2.44091	
2.28		-1.39478	0.490867		133.891	2.48009	
2.281		-1.3918	0.476397		146.978	2.47991	
2.282		-1.3897	0.472166		139.587	2.44498	
2.283		-1.38659	0.458535		151.106	2.44056	
2.284		-1.38307	0.439899		158.69	2.43919	
2.285		-1.38132	0.438531		148.867	2.39588	
2.286		-1.37793	0.423643		154.707	2.3767	
2.287		-1.37788	0.433136		146.078	2.36612	
2.288		-1.37422	0.414438		154.419	2.36553	
2.289		-1.37261	0.412399		154.626	2.39183	
2.29		-1.36874	0.390738		156.451	2.31198	
2.3		-1.34784	0.327341		141.749	2.09543	
2.32		-1.31056	0.226508		97.1789	1.68605	
2.35		-1.26529	0.149882		49.5571	1.3636	
2.38		-1.22723	0.116257		30.3733	1.21159	
2.4		-1.20414	0.101396		23.1525	1.12653	
2.45		-1.15168	0.0770656		13.4764	0.97248	
2.5		-1.10609	0.0634817		9.07589	0.860099	
2.55		-1.06525	0.0540749		6.50966	0.775579	
2.6		-1.02826	0.0479669		4.98404	0.704333	
