Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66205	0.868146		2.21978	0.9886	
2.2		-1.54662	0.785187		4.7097	1.41403	
2.23		-1.50047	0.734639		11.31	1.66793	
2.25		-1.46331	0.675058		31.3922	1.99551	
2.26		-1.44333	0.63585		48.0989	2.16029	
2.265		-1.43164	0.606719		60.2788	2.26292	
2.27		-1.42077	0.582703		67.8938	2.3215	
2.275		-1.40829	0.547391		83.1112	2.37529	
2.278		-1.40152	0.530704		85.4562	2.36555	
2.279		-1.39887	0.523202		85.662	2.33673	
2.28		-1.39626	0.513695		91.8578	2.37117	
2.281		-1.39305	0.49826		98.7785	2.39144	
2.282		-1.39068	0.495929		97.1112	2.34868	
2.283		-1.3895	0.494273		95.7517	2.34345	
2.284		-1.38772	0.490231		95.5378	2.32863	
2.285		-1.38429	0.476115		102.288	2.37816	
2.286		-1.38215	0.471681		99.3552	2.31799	
2.287		-1.37987	0.464977		100.87	2.33042	
2.288		-1.37759	0.45919		101.314	2.338	
2.289		-1.37624	0.457955		99.1669	2.2693	
2.29		-1.37332	0.447577		101.991	2.30363	
2.3		-1.34961	0.37045		102.788	2.09732	
2.32		-1.31262	0.279254		81.2978	1.75653	
2.35		-1.26604	0.191659		47.9036	1.39977	
2.38		-1.2274	0.145129		29.4572	1.20507	
2.4		-1.20407	0.126121		22.9451	1.12203	
2.45		-1.15179	0.0965588		13.3815	0.973256	
2.5		-1.10595	0.0790272		8.95501	0.860719	
2.55		-1.06514	0.0677386		6.48036	0.776542	
2.6		-1.02824	0.0596798		4.97611	0.703729	
