Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.662	0.868304		1.41211	0.989868	
2.2		-1.54704	0.786094		4.49667	1.40257	
2.23		-1.50042	0.734868		10.76	1.68185	
2.25		-1.46483	0.684571		20.0022	1.88989	
2.26		-1.44338	0.642401		32.7225	2.06989	
2.265		-1.43314	0.619905		40.3153	2.16899	
2.27		-1.4212	0.591702		47.3372	2.21404	
2.275		-1.4111	0.574689		48.0146	2.21792	
2.278		-1.40727	0.573973		45.2723	2.17819	
2.279		-1.40268	0.557053		51.9025	2.25022	
2.28		-1.39975	0.545723		55.0173	2.24901	
2.281		-1.39987	0.553401		51.1277	2.19274	
2.282		-1.39672	0.543356		53.84	2.20965	
2.283		-1.39383	0.537199		53.1137	2.20749	
2.284		-1.39296	0.537201		53.5275	2.19556	
2.285		-1.38969	0.528119		54.9988	2.20711	
2.286		-1.38669	0.519856		56.1375	2.21799	
2.287		-1.38602	0.520142		57.4744	2.22134	
2.288		-1.38422	0.51796		56.2224	2.2204	
2.289		-1.38087	0.503438		61.0961	2.22755	
2.29		-1.37882	0.50195		59.3819	2.21263	
2.3		-1.35728	0.448957		62.8919	2.11795	
2.32		-1.31775	0.358172		57.9722	1.85806	
2.35		-1.26868	0.255338		41.9025	1.4626	
2.38		-1.22815	0.198309		28.2117	1.23725	
2.4		-1.20463	0.170452		22.2289	1.14898	
2.45		-1.15185	0.129485		13.0158	0.971037	
2.5		-1.10597	0.105881		9.00556	0.86922	
2.55		-1.06523	0.0913916		6.56109	0.777852	
2.6		-1.02834	0.0801218		4.96797	0.705624	
