Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66172	0.867479		2.33317	0.985871	
2.2		-1.54629	0.783794		5.42984	1.41554	
2.23		-1.50022	0.733752		11.678	1.67949	
2.25		-1.4638	0.678608		24.7989	1.94246	
2.26		-1.44334	0.640648		33.9951	2.09825	
2.265		-1.4322	0.616486		41.2384	2.16621	
2.27		-1.42285	0.601017		42.9632	2.17356	
2.275		-1.41237	0.579617		46.8595	2.19143	
2.278		-1.40581	0.564714		49.6707	2.1947	
2.279		-1.4025	0.553169		53.9394	2.23274	
2.28		-1.40058	0.551867		51.9257	2.21852	
2.281		-1.39913	0.550471		52.374	2.2346	
2.282		-1.39641	0.541896		54.1415	2.22891	
2.283		-1.39529	0.543946		51.793	2.21543	
2.284		-1.39251	0.533725		54.9916	2.20955	
2.285		-1.38917	0.527054		54.5702	2.2074	
2.286		-1.3868	0.517192		58.3242	2.20862	
2.287		-1.38589	0.520068		56.809	2.21408	
2.288		-1.38373	0.513393		58.656	2.21844	
2.289		-1.38093	0.505102		58.2999	2.19924	
2.29		-1.37928	0.505095		57.6438	2.20262	
2.3		-1.35791	0.452177		61.8253	2.11723	
2.32		-1.31762	0.354886		57.9192	1.83805	
2.35		-1.26839	0.25524		41.6153	1.45901	
2.38		-1.22821	0.195293		28.2939	1.235	
2.4		-1.20406	0.167467		21.5971	1.13166	
2.45		-1.1517	0.128815		13.1114	0.971317	
2.5		-1.10614	0.106694		9.02429	0.861081	
2.55		-1.06532	0.0906027		6.44193	0.777095	
2.6		-1.02841	0.0798211		4.94238	0.706106	
